,Continent,Item,bee_commodity_corr,bee_prod_corr,bee_area_corr,bee_yield_corr,commodity_prod_corr,commodity_area_corr,commodity_yield_corr,data_points
0,Europe,Apples,-0.056467859770491076,0.7562986094528945,0.8917165514084958,-0.1322866116364074,-0.04372184813275357,-0.04067944815976407,-0.009250836220132303,1082
1,Europe,Sunflower seed,-0.054885263186464875,0.46779470261583656,0.6030521495512766,-0.15656426729031533,-0.04310472971859245,-0.011405054060425576,-0.08130077707504982,1017
2,Europe,Wheat,-0.06500457380421704,0.8114288915729135,0.9228326413618982,-0.23825999844067888,-0.02389064461400499,-0.014138632564856323,-0.015349517301077984,1586
3,Europe,"Almonds, in shell",-0.04507088172232407,0.7673007185016706,0.8265392348146444,-0.34886912308128226,-0.056527208882406185,-0.027579782494292982,-0.05490634373471418,319
4,Europe,"Pumpkins, squash and gourds",-0.04667603783236409,0.46383354507380437,0.050985249067632125,0.2501633022468276,-0.053210855730892404,-0.05192678662465093,0.014483424389136376,676
5,Europe,Cucumbers and gherkins,-0.06466226048004403,0.7699621074394236,0.8838303432726392,-0.16955583166255805,0.0030598009229119982,-0.004270966669038752,0.0109805994028988,1372
6,Europe,Rape or colza seed,-0.06379731042850578,0.06252727737829296,0.12908049004474556,-0.3013607022165931,0.014519658541370844,0.01626679806624471,0.019561994229887438,1284
7,Europe,Cherries,-0.06669530520995723,0.42287740851764744,0.5496051662103068,-0.14235614543988606,-0.04103930499316872,-0.03980361514507754,-0.010783094068571475,801
8,Europe,Raspberries,-0.06548724376436962,0.555607338371372,0.5423561708674635,0.15395595039875826,-0.012191860885644591,0.005488642911547409,-0.0010868527367511721,607
9,Europe,Strawberries,-0.0569246153547451,0.4347302687767713,0.32231942040268186,0.05243941401140896,-0.02593082815737638,-0.0039036158858409054,-0.019739035803324863,1158
10,Europe,Blueberries,-0.3303444086411826,-0.16345400885254877,-0.24651343586514501,0.6456177803576896,0.19517493329443472,0.34663946440191473,-0.15655883322022157,122
11,Africa,Apples,0.05852532852431028,0.08706386407453463,0.19143123139503662,0.07002072085279307,-0.018877601158804453,0.06630969921414867,0.003043353287942932,317
12,Africa,Sunflower seed,0.011061833678388217,0.03270309140328752,0.06157889889475364,0.23362363403663913,-0.03812798509215269,-0.045199716967783694,0.024861039745266225,535
13,Africa,Wheat,0.005204781693052832,0.2377707578763874,0.15021455293215488,0.15889987387283205,0.008224458566270913,0.009304316342231478,0.0015126181109646995,1073
14,Africa,"Almonds, in shell",0.15217429751094858,0.7410713047322038,0.11113817482295352,0.4118448490914283,-0.010506176383029342,-0.011293975148198231,-0.056748035444303,128
15,Africa,"Pumpkins, squash and gourds",0.013026330432516641,0.41476498594677763,0.36421724263623406,0.058956284737401284,0.02756142207309031,-0.018266295388652015,-0.005381080114562231,666
16,Africa,Cucumbers and gherkins,0.013005751429522401,0.10398168474296883,0.09898922412879009,0.17800468440059328,0.03427475354554659,-0.010078910838118392,0.08069789705791049,457
17,Africa,Rape or colza seed,-0.0425510703233563,0.34892101313794505,-0.16307732905112998,0.3184507149761141,0.22338338335163002,0.02173227762129175,-0.09623236156292826,68
18,Africa,Cherries,-0.024844293265737415,0.09429169644504674,0.4787018862096238,-0.4690833660488272,-0.3798968325930621,-0.26320450279023794,-0.15639487743889122,65
19,Africa,Strawberries,-0.024844293265737415,0.8611925524763107,0.5336528363490606,0.8240293039527924,-0.20703282141474988,-0.41013934528668566,0.1252101638325515,65
20,South America,Apples,0.02545457833451303,0.6956076150663021,0.8361605350695301,0.6992621964605956,0.05846715111175911,0.07961072385158455,-0.004789690958828824,191
21,South America,Sunflower seed,0.05532512445641872,0.8452457233399929,0.7828667358385404,0.5562668256952759,-0.019610208380286764,-0.0073100446555578345,0.06552811295711383,254
22,South America,Wheat,0.030366491320078882,0.9191366300992362,0.8188484529504101,0.30811565288354087,0.00484686497422228,-0.0012236413582458465,0.036989216588024135,506
23,South America,"Pumpkins, squash and gourds",0.039548016190301155,0.7429522260961504,0.642832578047604,0.24556754486781227,-0.025720869952272928,-0.06264681784798558,0.040200135656282915,317
24,South America,Cucumbers and gherkins,0.02464608993949476,0.6837032225399006,0.33158157272757577,0.8759919603795667,0.005031435868205477,0.017617015483521004,-0.03939153659179629,191
25,South America,Rape or colza seed,0.07712200113912428,-0.2591471857226469,-0.1743491675858594,-0.24382983368480418,-0.22629521447258405,-0.219907089020958,0.08162664230158348,128
26,South America,Cherries,0.3201155862527173,-0.3133414403930037,-0.2941608469438659,-0.05396474525701419,-0.24191342942093197,-0.24164934515357533,-0.1232661263656309,65
27,South America,Raspberries,0.3201155862527173,0.07777460336631017,0.39608116141733696,-0.7159999846779178,-0.005396567328272133,0.05343074633244732,-0.12040034741352093,36
28,South America,Strawberries,-0.2514562381159583,-0.4929722192300097,-0.5618795730366526,-0.11874279376576598,0.10173524952829997,0.4214430722525101,-0.238693356279496,65
29,South America,Blueberries,0.3201155862527173,-0.7346786551922942,-0.680218252687278,-0.008179331044958117,-0.21550993162702994,-0.18218916379718134,0.033962844060006554,36
30,Asia,Apples,-0.01416240875603949,0.5630824656548532,0.6318630851841557,-0.020129927118798033,0.0012109362215740244,-0.009814050607999674,-0.01157198660261197,1013
31,Asia,Sunflower seed,-0.019457617252106024,0.8776643025419002,0.8643696360695154,0.178392927475442,-0.030614026169037935,0.0054974635730532725,-0.02279513710721153,603
32,Asia,Wheat,-0.012440954494074874,0.8554586851908329,0.8764417650240177,0.36400946145448676,-0.01324227088736366,-0.01248577185935352,-0.002837643261320437,1202
33,Asia,"Almonds, in shell",-0.021584149892389916,0.51732050748082,0.3878526536783375,-0.03144633630576927,-0.0011379129272448179,0.07018188528760091,-0.0558540364902198,732
34,Asia,"Pumpkins, squash and gourds",-0.008701086358039975,0.7624083399223176,0.8306968554059545,-0.27544969820387183,0.05064336408059622,-0.010030883413442548,0.04428223688902541,890
35,Asia,Cucumbers and gherkins,-0.015155130047509343,0.5108998471841587,0.5950694617268555,-0.12055104195905096,-0.010675787864483054,0.004877523095116443,0.04949046636864569,1013
36,Asia,Rape or colza seed,-0.011600107336055633,0.7737738382012709,0.8796535553730246,0.2622256192592556,0.014020527353254405,0.004299100714773239,-0.047101844228506634,570
37,Asia,Cherries,-0.0327726812278665,0.32393842368766285,0.31036766032073065,-0.07724147276854627,-0.02051833549059031,0.019324202635485316,-0.13146629207281102,602
38,Asia,Raspberries,-0.2555118190595546,0.37295840056788215,0.3422764510213017,0.4481659564581414,0.22592713258031513,0.21761918386157764,0.018420276733540745,76
39,Asia,Strawberries,-0.028734649317238785,0.7176743892207667,0.6723275424417526,0.07916727534611297,-0.00901786861545281,-0.014014781812152127,-0.059439558411668425,444
40,Asia,Blueberries,-0.5711375577941399,0.5068079828141991,-0.31721998575474747,0.5898762135974789,-0.08397121430022596,0.11649806165493236,-0.1201194830773669,35
41,Oceania,Apples,-0.41881411739820057,0.4790856892633692,0.21146873052692194,0.1942378148839401,-0.08576953631604374,-0.08406041666339568,0.012088763489918277,128
42,Oceania,Sunflower seed,-0.4870159954194972,0.21532395032266008,0.2624905792572836,0.15671043510437285,-0.08353311576781622,-0.13294425410871835,0.19618228768512752,65
43,Oceania,Wheat,-0.41881411739820057,0.28388923622239787,0.2633463243743691,0.2741433115360145,0.011910098660349283,0.08310284107063506,-0.006278140196663236,128
44,Oceania,"Pumpkins, squash and gourds",-0.18219309019944707,0.7841858511673316,0.8149764468027758,0.4665328541607636,0.03299287939556989,0.04135422697079184,-0.08695705224283773,191
45,Oceania,Cucumbers and gherkins,-0.17719590174134267,0.4877368813497787,0.19352751763160844,0.42683289178584544,-0.04592584804719308,0.010947863965869059,0.10525450367466499,193
46,Oceania,Rape or colza seed,-0.41881411739820057,0.2501285980190589,0.22345855067807482,0.12787528609347876,-0.05651139104241538,-0.023261822383646248,-0.09725566586193628,128
47,Oceania,Cherries,-0.41881411739820057,0.3715989113002996,0.4873421282966696,-0.23436691303576918,-0.04792828043202147,-0.0644073314769665,-0.015843145969191494,128
48,Oceania,Raspberries,-0.41881411739820057,-0.573015292634464,-0.4696851746316946,-0.6477999738618958,-0.1328121726446692,0.06334826710655742,-0.12159083868709766,128
49,Oceania,Strawberries,-0.41881411739820057,0.2716234081095384,0.25960713348463593,0.05828442857000392,-0.0793489746573682,-0.056595808626406854,0.19299439651228795,128
50,North America,Apples,-0.05783287720258816,0.7254489404992672,0.8896911296568656,0.44754658065787856,-0.02926291366086554,-0.02312081209630689,-0.033294169781916336,254
51,North America,Sunflower seed,-0.061629721456517655,0.5114186070816908,0.5403761538591164,-0.10860764893754712,-0.030551614914355568,-0.020846026047568748,-0.22345590181273603,128
52,North America,Wheat,-0.04515065603758248,0.6845055237181759,0.7046468652309524,0.4671216103100645,-0.0031306582304352747,-0.003308773173678057,0.008834414699364287,317
53,North America,"Almonds, in shell",-0.6747570218638712,-0.6878465154107078,-0.7241087777306597,-0.7499549049159298,-0.0005645554773467188,-0.1831815285546685,0.41184632712064523,65
54,North America,"Pumpkins, squash and gourds",-0.018379599557260075,0.6956869157612751,0.459910084720645,0.26414605540069586,0.03677334515878067,0.10705742266902277,-0.0008991591748975234,431
55,North America,Cucumbers and gherkins,-0.027679053190177865,0.8422488628730154,0.8879895538437749,0.08405066897783255,0.0011849406852877773,0.04306851218118998,-0.108982309686741,552
56,North America,Rape or colza seed,-0.08524402252829183,-0.5049575858419142,-0.608167135272663,-0.29820141183609067,-0.05024236803662624,-0.019018627909466127,0.2046186138194051,128
57,North America,Cherries,-0.03980623344432537,0.5971929109635867,0.7194226562143438,0.23629702009966186,0.034678984039646005,0.06733477558856979,-0.09805000843398849,131
58,North America,Raspberries,-0.061629721456517655,0.2563022963908428,0.3567282111381644,0.22993982882358444,0.007105647887647246,0.06619551745254297,-0.03268786995816806,128
59,North America,Strawberries,-0.09103625311980512,0.42441296043273735,0.7873503281152261,0.38010367025829844,0.004369648495663561,-0.028657297635706878,0.012768876073315621,191
60,North America,Blueberries,-0.061629721456517655,0.036145617368282465,-0.10754554852373187,0.4246031952528606,-0.13513058048688414,-0.083739501504484,-0.0090156740911212,128
